case concept:name,PO,GR,INV,match,gap,rework,cleared
2000000001_00001,557.0,557.0,557.0,True,0.0,False,True
2000000006_00001,37819.0,37819.0,37819.0,True,0.0,False,True
2000000008_00001,18186.0,18186.0,18186.0,True,0.0,False,True
2000000009_00001,1039.0,1039.0,1039.0,True,0.0,False,True
2000000011_00001,112583.0,112583.0,112583.0,True,0.0,False,True
2000000013_00001,857.0,857.0,857.0,True,0.0,False,True
2000000023_00001,22251.0,22251.0,22251.0,True,0.0,False,True
2000000025_00001,1368.0,1368.0,1368.0,True,0.0,False,True
2000000033_00001,12852.0,12852.0,12852.0,True,0.0,False,True
2000000035_00001,3065.0,3065.0,3065.0,True,0.0,False,True
2000000036_00001,6903.0,6903.0,6903.0,True,0.0,False,True
2000000038_00001,57.0,57.0,57.0,True,0.0,False,True
2000000039_00001,428.0,428.0,428.0,True,0.0,False,True
2000000039_00002,127.0,127.0,127.0,True,0.0,False,True
2000000041_00001,260.0,260.0,260.0,True,0.0,False,True
2000000042_00001,45.0,45.0,45.0,True,0.0,False,True
2000000046_00001,173.0,173.0,173.0,True,0.0,False,True
2000000048_00001,828.0,828.0,828.0,True,0.0,False,True
2000000049_00001,412.0,412.0,412.0,True,0.0,False,True
2000000051_00001,33.0,33.0,33.0,True,0.0,False,True
2000000052_00001,2165.0,2165.0,2165.0,True,0.0,False,False
2000000074_00001,132.0,132.0,132.0,True,0.0,False,True
2000000075_00001,147.0,147.0,147.0,True,0.0,False,True
2000000087_00001,12834.0,12834.0,12834.0,True,0.0,False,True
2000000089_00001,34641.0,34641.0,34641.0,True,0.0,False,True
2000000091_00001,5629.0,5629.0,5629.0,True,0.0,False,True
2000000093_00001,5868.0,5868.0,5868.0,True,0.0,False,True
2000000103_00001,293.0,293.0,293.0,True,0.0,False,True
2000000104_00001,226.0,226.0,226.0,True,0.0,False,True
2000000106_00001,53065.0,53065.0,53065.0,True,0.0,False,True
2000000107_00001,1160.0,1160.0,1160.0,True,0.0,False,True
2000000108_00001,12470.0,12470.0,12470.0,True,0.0,False,True
2000000109_00001,34145.0,34145.0,34145.0,True,0.0,False,True
2000000111_00001,24972.0,24972.0,24972.0,True,0.0,False,True
2000000112_00001,82.0,82.0,82.0,True,0.0,False,True
2000000124_00001,107.0,107.0,107.0,True,0.0,False,True
2000000124_00002,247.0,247.0,247.0,True,0.0,False,True
2000000127_00001,86.0,86.0,86.0,True,0.0,False,True
2000000128_00001,13163.0,13163.0,13163.0,True,0.0,True,True
2000000129_00001,12384.0,12384.0,12384.0,True,0.0,False,True
2000000132_00001,285.0,285.0,285.0,True,0.0,False,True
2000000137_00001,46.0,46.0,46.0,True,0.0,False,True
2000000141_00001,62.0,62.0,62.0,True,0.0,False,True
2000000141_00002,76.0,76.0,76.0,True,0.0,False,True
2000000141_00003,33.0,33.0,33.0,True,0.0,False,True
2000000143_00001,5196.0,5196.0,5196.0,True,0.0,False,True
2000000147_00001,67.0,67.0,67.0,True,0.0,False,True
2000000148_00001,24.0,24.0,24.0,True,0.0,False,True
2000000149_00001,561.0,561.0,561.0,True,0.0,False,True
2000000154_00001,3109.0,3109.0,3109.0,True,0.0,False,True
2000000156_00001,389.0,389.0,389.0,True,0.0,False,True
2000000158_00001,2039.0,2039.0,2039.0,True,0.0,False,True
