case concept:name,PO,GR,INV,match,gap
2000000002_00001,76210.0,76210.0,76210.0,True,0.0
2000000010_00001,1668264.0,1668264.0,1668264.0,True,0.0
2000000014_00001,17414.0,17414.0,17414.0,True,0.0
2000000015_00001,457836.0,457836.0,457836.0,True,0.0
2000000019_00001,502814.0,502814.0,502814.0,True,0.0
2000000020_00001,155884.0,155884.0,155884.0,True,0.0
2000000021_00001,277128.0,277128.0,277128.0,True,0.0
2000000024_00001,58196.0,58196.0,58196.0,True,0.0
2000000027_00001,6754.0,6754.0,6754.0,True,0.0
2000000028_00001,6754.0,6754.0,6754.0,True,0.0
2000000030_00001,549.0,549.0,1098.0,False,549.0
2000000034_00001,277128.0,277128.0,277128.0,True,0.0
2000000040_00001,3464.0,3464.0,3464.0,True,0.0
2000000055_00001,433012.0,433012.0,433012.0,True,0.0
2000000056_00001,41569.0,41569.0,41569.0,True,0.0
2000000057_00001,277128.0,277128.0,277128.0,True,0.0
2000000058_00001,339481.0,339481.0,339481.0,True,0.0
2000000059_00001,190525.0,190525.0,190525.0,True,0.0
2000000060_00001,356802.0,356802.0,356802.0,True,0.0
2000000061_00001,304840.0,304840.0,304840.0,True,0.0
2000000064_00001,259807.0,259807.0,259807.0,True,0.0
2000000065_00001,207846.0,207846.0,207846.0,True,0.0
2000000066_00001,294448.0,294448.0,294448.0,True,0.0
2000000067_00001,259807.0,259807.0,259807.0,True,0.0
2000000068_00001,381051.0,381051.0,381051.0,True,0.0
2000000069_00001,495366.0,495366.0,495366.0,True,0.0
2000000070_00001,242487.0,242487.0,242487.0,True,0.0
2000000071_00001,207846.0,207846.0,207846.0,True,0.0
2000000072_00001,346410.0,346410.0,346410.0,True,0.0
2000000078_00001,5897.0,5897.0,5897.0,True,0.0
2000000081_00001,60.0,60.0,60.0,True,0.0
2000000097_00001,11353.0,11353.0,11353.0,True,0.0
2000000101_00001,19875.0,19875.0,19875.0,True,0.0
2000000102_00001,132664.0,132664.0,132664.0,True,0.0
2000000114_00001,78912.0,78912.0,78912.0,True,0.0
2000000115_00001,2159297.0,2159297.0,2159297.0,True,0.0
2000000120_00001,54319.0,54319.0,54319.0,True,0.0
2000000122_00001,52537.0,52537.0,52537.0,True,0.0
2000000186_00001,24248.0,24248.0,24248.0,True,0.0
2000000193_00001,13847.0,13847.0,13847.0,True,0.0
2000000198_00001,86.0,86.0,86.0,True,0.0
2000000199_00001,3074.0,3074.0,3074.0,True,0.0
2000000206_00001,65817.0,65817.0,65817.0,True,0.0
2000000213_00001,28812.0,28812.0,28812.0,True,0.0
2000000217_00001,1732.0,1732.0,1732.0,True,0.0
2000000220_00001,69903.0,69903.0,69903.0,True,0.0
2000013423_00001,342656.0,342656.0,342656.0,True,0.0
2000013432_00001,33207.0,33207.0,33207.0,True,0.0
2000013440_00001,14630.0,14630.0,14630.0,True,0.0
2000013446_00001,42390.0,42390.0,42390.0,True,0.0
2000013448_00001,207846.0,207846.0,207846.0,True,0.0
2000013454_00001,311769.0,311769.0,311769.0,True,0.0
2000013455_00001,244219.0,244219.0,244219.0,True,0.0
2000013457_00001,93184.0,93184.0,93184.0,True,0.0
2000013458_00001,6495.0,6495.0,6495.0,True,0.0
2000013460_00001,121243.0,121243.0,121243.0,True,0.0
2000013462_00001,1931.0,1931.0,1931.0,True,0.0
2000013465_00001,60621.0,60621.0,60621.0,True,0.0
2000013467_00001,2494.0,2494.0,2494.0,True,0.0
2000013489_00001,866.0,866.0,866.0,True,0.0
2000013514_00001,31173.0,31173.0,31173.0,True,0.0
2000013521_00001,11344.0,11344.0,11344.0,True,0.0
2000013523_00001,76210.0,76210.0,76210.0,True,0.0
2000013529_00001,144378.0,144378.0,144378.0,True,0.0
2000013530_00001,98823.0,98823.0,98823.0,True,0.0
2000013547_00001,244219.0,244219.0,244219.0,True,0.0
2000013552_00001,428204.0,428204.0,428204.0,True,0.0
2000013555_00001,15022.0,15022.0,15022.0,True,0.0
2000013568_00001,268467.0,268467.0,268467.0,True,0.0
2000013569_00001,77076.0,77076.0,77076.0,True,0.0
2000013583_00001,11542.0,11542.0,11542.0,True,0.0
2000013588_00001,112398.0,112398.0,112398.0,True,0.0
2000013598_00001,336.0,336.0,336.0,True,0.0
2000013600_00001,1882857.0,1882857.0,3765715.0,False,1882858.0
2000013601_00001,32216.0,32216.0,32216.0,True,0.0
2000013606_00001,5872.0,5872.0,5872.0,True,0.0
2000013615_00001,301376.0,301376.0,301376.0,True,0.0
2000013622_00001,129903.0,129903.0,129903.0,True,0.0
2000013623_00001,44167.0,44167.0,44167.0,True,0.0
2000013625_00001,446.0,446.0,446.0,True,0.0
2000013626_00001,575.0,575.0,575.0,True,0.0
2000013635_00001,276.0,276.0,276.0,True,0.0
2000013657_00001,19782.0,19782.0,19782.0,True,0.0
2000013669_00001,24802.0,24802.0,24802.0,True,0.0
2000013673_00001,13112.0,13112.0,13112.0,True,0.0
2000013677_00001,124409.0,124409.0,124409.0,True,0.0
2000033451_00001,3117.0,3117.0,3117.0,True,0.0
2000033461_00001,657070.0,657070.0,657070.0,True,0.0
2000033462_00001,16844.0,16844.0,16844.0,True,0.0
2000033465_00001,1558.0,1558.0,1558.0,True,0.0
2000033466_00001,598854.0,598854.0,598854.0,True,0.0
2000033467_00001,7896.0,7896.0,7896.0,True,0.0
2000033485_00001,130356.0,130356.0,130356.0,True,0.0
2000033511_00001,23919.0,23919.0,23919.0,True,0.0
2000033513_00001,51961.0,51961.0,51961.0,True,0.0
2000033515_00001,2598.0,2598.0,2598.0,True,0.0
2000033530_00001,976876.0,976876.0,976876.0,True,0.0
2000033540_00001,133384.0,133384.0,133384.0,True,0.0
2000033562_00001,20147.0,20147.0,20147.0,True,0.0
2000033587_00001,433.0,433.0,433.0,True,0.0
2000033619_00001,10038.0,10038.0,10038.0,True,0.0
2000033620_00001,84801.0,84801.0,84801.0,True,0.0
2000052714_00001,69282.0,69282.0,69282.0,True,0.0
2000052726_00001,52028.0,52028.0,52028.0,True,0.0
2000052785_00001,108487.0,108487.0,108487.0,True,0.0
2000052850_00001,181659.0,181659.0,181659.0,True,0.0
4507000322_00010,8602.0,8602.0,8602.0,True,0.0
4507000322_00020,11236.0,11236.0,11236.0,True,0.0
4507000322_00030,4152.0,4152.0,4152.0,True,0.0
4507000322_00040,8939.0,8939.0,17878.0,False,8939.0
4507000322_00060,8812.0,8812.0,8812.0,True,0.0
4507000322_00080,8812.0,8812.0,8812.0,True,0.0
4507000322_00090,4215.0,4215.0,4215.0,True,0.0
4507000322_00100,11302.0,11302.0,11302.0,True,0.0
4507000322_00110,3257.0,3257.0,3257.0,True,0.0
4507000322_00120,8823.0,8823.0,8823.0,True,0.0
4507000322_00130,3257.0,3257.0,3257.0,True,0.0
4507000322_00140,8812.0,8812.0,8812.0,True,0.0
4507000322_00150,3257.0,3257.0,6514.0,False,3257.0
4507000322_00160,10426.0,10426.0,10426.0,True,0.0
4507000322_00170,3257.0,3257.0,3257.0,True,0.0
4507000322_00180,8812.0,8812.0,17625.0,False,8813.0
4507000322_00190,3257.0,3257.0,6514.0,False,3257.0
4507000322_00200,8812.0,8812.0,8812.0,True,0.0
4507000322_00210,3257.0,3257.0,3257.0,True,0.0
4507000322_00220,8812.0,8812.0,8812.0,True,0.0
4507000322_00230,2321.0,2321.0,2321.0,True,0.0
4507000322_00240,8812.0,8812.0,17625.0,False,8813.0
4507000430_00030,503204.0,503204.0,503204.0,True,0.0
4507000444_00010,481965.0,481965.0,963930.0,False,481965.0
4507000449_00020,10455.0,10455.0,10455.0,True,0.0
4507000449_00050,19219.0,19219.0,19219.0,True,0.0
4507000449_00090,29003.0,29003.0,29003.0,True,0.0
4507000451_00010,10935.0,10935.0,10935.0,True,0.0
4507000451_00020,29489.0,29489.0,29489.0,True,0.0
4507000470_00001,21.0,21.0,127.0,False,106.0
4507000471_00001,313.0,627.0,941.0,False,628.0
4507000676_00010,17320.0,17320.0,17320.0,True,0.0
4507000693_00010,1922576.0,1922576.0,1922576.0,True,0.0
4507000699_00010,519615.0,519615.0,519615.0,True,0.0
4507000709_00010,4243524.0,4243524.0,4243524.0,True,0.0
4507000806_00001,41.0,372.0,289.0,False,331.0
4507000808_00001,31.0,62.0,93.0,False,62.0
4507000854_00010,17355.0,17355.0,69420.0,False,52065.0
4507000879_00150,21128.0,21128.0,21128.0,True,0.0
4507000879_00160,34641.0,34641.0,34641.0,True,0.0
4507000879_00170,1732.0,1732.0,1732.0,True,0.0
4507000902_00010,8660.0,8660.0,17320.0,False,8660.0
4507000906_00010,8660.0,8660.0,8660.0,True,0.0
4507000906_00020,24248.0,24248.0,24248.0,True,0.0
4507000906_00030,8660.0,8660.0,8660.0,True,0.0
4507000906_00040,18455.0,18455.0,18455.0,True,0.0
4507000906_00050,15588.0,15588.0,15588.0,True,0.0
4507000906_00060,15588.0,15588.0,15588.0,True,0.0
4507000906_00070,24248.0,24248.0,24248.0,True,0.0
4507000906_00080,8660.0,8660.0,8660.0,True,0.0
4507000906_00090,3464.0,3464.0,3464.0,True,0.0
4507000906_00100,38105.0,38105.0,38105.0,True,0.0
4507000906_00110,8660.0,8660.0,8660.0,True,0.0
4507000916_00040,39.0,39.0,39.0,True,0.0
