C_in_R,t_f_ratio,t_v_ratio,saving_per_doc,breakeven_N
1,0.0,0.0,0.7,1
1,0.02,0.02,0.6858,1
1,0.05,0.05,0.6646,2
1,0.1,0.1,0.6292,2
1,0.2,0.2,0.5585,2
5,0.0,0.0,0.7,7
5,0.02,0.02,0.6858,7
5,0.05,0.05,0.6646,8
5,0.1,0.1,0.6292,8
5,0.2,0.2,0.5585,9
10,0.0,0.0,0.7,14
10,0.02,0.02,0.6858,15
10,0.05,0.05,0.6646,15
10,0.1,0.1,0.6292,16
10,0.2,0.2,0.5585,18
50,0.0,0.0,0.7,71
50,0.02,0.02,0.6858,73
50,0.05,0.05,0.6646,75
50,0.1,0.1,0.6292,79
50,0.2,0.2,0.5585,90
100,0.0,0.0,0.7,143
100,0.02,0.02,0.6858,146
100,0.05,0.05,0.6646,150
100,0.1,0.1,0.6292,159
100,0.2,0.2,0.5585,179
500,0.0,0.0,0.7,714
500,0.02,0.02,0.6858,729
500,0.05,0.05,0.6646,752
500,0.1,0.1,0.6292,795
500,0.2,0.2,0.5585,895
