cond,kind,model,file_name,got,cond_value,truth,pred
amount_0.1,amount,granite,batch1-0182,127.31,127.44,True,True
amount_0.1,amount,granite,batch1-1294,192.5,192.31,True,True
amount_0.1,amount,granite,batch1-1100,500.29,500.79,True,True
amount_0.1,amount,granite,batch1-0345,6591.93,6585.34,True,True
amount_0.1,amount,granite,batch1-1375,21089.9,21068.81,True,True
amount_0.1,amount,granite,batch1-0474,44.28,44.28,False,False
amount_0.1,amount,granite,batch1-1224,165.42,165.25,True,True
amount_0.1,amount,granite,batch1-0572,462.77,462.31,True,True
amount_0.1,amount,granite,batch1-0475,1883.91,1885.79,True,True
amount_0.1,amount,granite,batch1-1480,9556.58,9547.02,True,True
amount_0.1,amount,granite,batch1-0742,119.23,119.11,True,True
amount_0.1,amount,granite,batch1-0884,275.0,275.27,True,True
amount_0.1,amount,granite,batch1-0864,893.82,812.56,False,True
amount_0.1,amount,granite,batch1-1165,6640.07,6633.43,True,True
amount_0.1,amount,granite,batch1-0415,21710.03,21731.74,True,True
amount_0.1,amount,granite,batch1-0471,40.3,40.3,False,False
amount_0.1,amount,granite,batch1-0902,181.5,181.32,True,True
amount_0.1,amount,granite,batch1-1019,409.05,409.46,True,True
amount_0.1,amount,granite,batch1-0093,2235.2,2232.96,True,True
amount_0.1,amount,granite,batch1-0704,32880.8,32913.68,True,True
amount_0.1,amount,granite,batch1-0790,4.94,4.94,False,False
amount_0.1,amount,granite,batch1-0296,169.25,169.08,True,True
amount_0.1,amount,granite,batch1-1055,459.79,460.25,True,True
amount_0.1,amount,granite,batch1-0336,4746.42,4751.17,True,True
amount_0.1,amount,granite,batch1-1325,39935.77,39935.77,False,False
amount_0.1,amount,granite,batch1-0724,55.66,55.66,False,False
amount_0.1,amount,granite,batch1-1151,331.99,332.32,True,True
amount_0.1,amount,granite,batch1-0088,500.24,499.74,True,True
amount_0.1,amount,granite,batch1-1349,4783.7,4783.7,False,False
amount_0.1,amount,granite,batch1-0817,55378.76,55378.76,False,False
amount_0.1,amount,granite,batch1-0397,159.45,159.29,True,True
amount_0.1,amount,granite,batch1-0979,220.44,220.22,True,True
amount_0.1,amount,granite,batch1-0165,698.89,698.89,False,False
amount_0.1,amount,granite,batch1-1312,1980.0,1981.98,True,True
amount_0.1,amount,granite,batch1-0500,34486.08,34451.59,True,True
amount_0.1,amount,granite,batch1-0073,53.96,54.01,True,True
