model,file_name,amt_got,amt_ans,amt_extracted,amt_correct,date_got,date_ans,date_extracted,date_correct,name_got,name_ans,name_extracted,name_correct
granite,batch1-0182,127.31,127.31,True,True,10/02/2020,10/02/2020,True,True,"Campbell, Chavez and Reynolds","Campbell, Chavez and Reynolds",True,True
granite,batch1-1294,192.5,192.5,True,True,04/24/2021,04/24/2021,True,True,"Gonzales, Rodgers and Sanchez","Gonzales, Rodgers and Sanchez",True,True
granite,batch1-1100,500.29,500.29,True,True,02/24/2018,02/24/2018,True,True,"Long, Alvarez and Mendoza","Long, Alvarez and Mendoza",True,True
granite,batch1-0345,6591.93,6591.93,True,True,10/04/2020,10/04/2020,True,True,Jones and Sons,Jones and Sons,True,True
granite,batch1-1375,21089.9,21089.9,True,True,08/24/2016,08/24/2016,True,True,"Thomas, Gonzalez and Bennett","Thomas, Gonzalez and Bennett",True,True
granite,batch1-0474,44.28,44.28,True,True,05/24/2019,05/24/2019,True,True,"Thomas, White and Smith","Thomas, White and Smith",True,True
granite,batch1-1224,165.42,165.42,True,True,02/11/2017,02/11/2017,True,True,"Peters, Barnett and Ramos","Peters, Barnett and Ramos",True,True
granite,batch1-0572,462.77,462.77,True,True,10/14/2020,10/14/2020,True,True,Choi Inc,Choi Inc,True,True
granite,batch1-0475,1883.91,1883.91,True,True,04/16/2014,04/16/2014,True,True,Acosta-Mendoza,Acosta-Mendoza,True,True
granite,batch1-1480,9556.58,9556.58,True,True,10/20/2014,10/20/2014,True,True,Hayes-Mcdonald,Hayes-Mcdonald,True,True
granite,batch1-0742,119.23,119.23,True,True,01/03/2015,01/03/2015,True,True,Hunt Group,Hunt Group,True,True
granite,batch1-0884,275.0,275.0,True,True,03/07/2017,03/07/2017,True,True,Mcdonald LLC,Mcdonald LLC,True,True
granite,batch1-0864,893.82,812.56,True,False,09/01/2018,09/01/2018,True,True,"Sims, Salinas and Tanner","Sims, Salinas and Tanner",True,True
granite,batch1-1165,6640.07,6640.07,True,True,02/26/2019,02/26/2019,True,True,"Campbell, Mathis and Johnson","Campbell, Mathis and Johnson",True,True
granite,batch1-0415,21710.03,21710.03,True,True,03/28/2017,03/28/2017,True,True,Jones Ltd,Jones Ltd,True,True
granite,batch1-0471,40.3,40.3,True,True,08/30/2011,08/30/2011,True,True,Williams Group,Williams Group,True,True
granite,batch1-0902,181.5,181.5,True,True,10/05/2014,10/05/2014,True,True,"Arnold, Watson and Taylor","Arnold, Watson and Taylor",True,True
granite,batch1-1019,409.05,409.05,True,True,01/03/2019,01/03/2019,True,True,Thomas PLC,Thomas PLC,True,True
granite,batch1-0093,2235.2,2235.2,True,True,10/03/2017,10/03/2017,True,True,Lopez-Smith,Lopez-Smith,True,True
granite,batch1-0704,32880.8,32880.8,True,True,12/19/2019,12/19/2019,True,True,Hart Ltd,Hart Ltd,True,True
granite,batch1-0790,4.94,4.94,True,True,12/23/2013,12/23/2013,True,True,Lewis and Sons,Lewis and Sons,True,True
granite,batch1-0296,169.25,169.25,True,True,08/20/2012,08/20/2012,True,True,Kennedy-Odonnell,Kennedy-Odonnell,True,True
granite,batch1-1055,459.79,459.79,True,True,01/21/2016,01/21/2016,True,True,Johnson PLC,Johnson PLC,True,True
granite,batch1-0336,4746.42,4746.42,True,True,04/07/2016,04/07/2016,True,True,Decker PLC,Decker PLC,True,True
granite,batch1-1325,39935.77,39935.77,True,True,08/20/2016,08/20/2016,True,True,Deleon and Sons,Deleon and Sons,True,True
granite,batch1-0724,55.66,55.66,True,True,05/06/2021,05/06/2021,True,True,"Glover, Harvey and Davis","Glover, Harvey and Davis",True,True
granite,batch1-1151,331.99,331.99,True,True,12/13/2012,12/13/2012,True,True,Banks Group,Banks Group,True,True
granite,batch1-0088,500.24,500.24,True,True,12/22/2013,12/22/2013,True,True,Kim-Davenport,Kim-Davenport,True,True
granite,batch1-1349,4783.7,4783.7,True,True,08/01/2015,08/01/2015,True,True,Whitaker Ltd,Whitaker Ltd,True,True
granite,batch1-0817,55378.76,55378.76,True,True,09/26/2011,09/26/2011,True,True,Stevens-Compton,Stevens-Compton,True,True
granite,batch1-0397,159.45,159.45,True,True,07/22/2020,07/22/2020,True,True,Cook and Sons,Cook and Sons,True,True
granite,batch1-0979,220.44,220.44,True,True,10/25/2018,10/25/2018,True,True,"Terry, Forbes and Franklin","Terry, Forbes and Franklin",True,True
granite,batch1-0165,698.89,698.89,True,True,10/11/2018,10/11/2018,True,True,Lewis-Moyer,Lewis-Moyer,True,True
granite,batch1-1312,1980.0,1980.0,True,True,02/20/2020,02/20/2020,True,True,Andrade Inc,Andrade Inc,True,True
granite,batch1-0500,34486.08,34486.08,True,True,07/24/2018,07/24/2018,True,True,"Carrillo, Lara and Hooper","Carrillo, Lara and Hooper",True,True
granite,batch1-0073,53.96,53.96,True,True,11/05/2019,11/05/2019,True,True,"Johnson, Buckley and Terry","Johnson, Buckley and Terry",True,True
granite,batch1-1273,280.5,280.5,True,True,11/01/2018,11/01/2018,True,True,Moses-Blair,Moses-Blair,True,True
granite,batch1-1226,1393.63,1393.63,True,True,11/19/2015,11/19/2015,True,True,"Robinson, McClain and Moore","Robinson, Mcclain and Moore",True,True
granite,batch1-0427,3756.43,3756.43,True,True,07/24/2013,07/24/2013,True,True,Jensen PLC,Jensen PLC,True,True
granite,batch1-0964,33794.35,33794.35,True,True,02/18/2017,02/18/2017,True,True,Pena-White,Pena-White,True,True
granite,batch1-0809,60.45,60.45,True,True,08/22/2012,08/22/2012,True,True,"Crawford, Acosta and Solomon","Crawford, Acosta and Solomon",True,True
granite,batch1-0283,314.27,314.27,True,True,05/07/2017,05/07/2017,True,True,Cohen-Fleming,Cohen-Fleming,True,True
granite,batch1-0796,882.05,882.05,True,True,10/25/2013,10/25/2013,True,True,Mcdonald and Sons,Mcdonald and Sons,True,True
granite,batch1-1439,2463.78,2463.78,True,True,10/25/2013,10/25/2013,True,True,Thompson-Webster,Thompson-Webster,True,True
granite,batch1-0367,93439.3,93439.3,True,True,05/30/2015,05/30/2015,True,True,Day and Sons,Day and Sons,True,True
granite,batch1-0452,39.53,39.53,True,True,08/23/2013,08/23/2013,True,True,Pena-Boyd,Pena-Boyd,True,True
granite,batch1-0108,360.58,360.58,True,True,04/22/2013,04/22/2013,True,True,Jackson Ltd,Jackson Ltd,True,True
granite,batch1-0824,589.41,589.41,True,True,08/09/2012,08/09/2012,True,True,Oconnor Group,Oconnor Group,True,True
granite,batch1-0851,5224.97,5224.97,True,True,04/13/2019,04/13/2019,True,True,Young-Wilkinson,Young-Wilkinson,True,True
granite,batch1-0560,14030.36,14030.36,True,True,09/13/2014,09/13/2014,True,True,"Barr, Bennett and Williams","Barr, Bennett and Williams",True,True
granite,batch1-0428,10.98,10.98,True,True,11/05/2017,11/05/2017,True,True,Henry Inc,Henry Inc,True,True
granite,batch1-0897,341.63,341.63,True,True,01/13/2013,01/13/2013,True,True,Colon and Sons,Colon and Sons,True,True
granite,batch1-1178,675.82,675.82,True,True,10/29/2012,10/29/2012,True,True,"Roberts, Gonzalez and Davis","Roberts, Gonzalez and Davis",True,True
granite,batch1-1290,1512.48,1512.48,True,True,12/27/2015,12/27/2015,True,True,Vargas-York,Vargas-York,True,True
granite,batch1-0120,9908.95,9908.95,True,True,11/26/2017,11/26/2017,True,True,Harris Group,Harris Group,True,True
granite,batch1-0903,111.07,111.07,True,True,12/30/2012,12/30/2012,True,True,Mcgrath-Ruiz,Mcgrath-Ruiz,True,True
granite,batch1-0705,255.64,255.64,True,True,05/25/2016,05/25/2016,True,True,"Hines, Stevens and Wong","Hines, Stevens and Wong",True,True
granite,batch1-1046,686.02,623.65,True,False,12/11/2013,12/11/2013,True,True,"Johnson, Perez and Zhang","Johnson, Perez and Zhang",True,True
granite,batch1-0816,2172.39,2172.39,True,True,06/19/2017,06/19/2017,True,True,Martin Inc,Martin Inc,True,True
granite,batch1-0677,16231.52,16231.52,True,True,05/21/2019,05/21/2019,True,True,Lewis-Gardner,Lewis-Gardner,True,True
granite,batch1-1185,14.0,14.0,True,True,10/23/2013,10/23/2013,True,True,"Henson, Mccarthy and Hart","Henson, Mccarthy and Hart",True,True
granite,batch1-0569,224.75,224.75,True,True,07/26/2014,07/26/2014,True,True,Morales-Wells,Morales-Wells,True,True
granite,batch1-0914,529.9,529.9,True,True,07/01/2016,07/01/2016,True,True,"Allen, Johnson and Edwards","Allen, Johnson and Edwards",True,True
granite,batch1-0697,4113.92,4113.92,True,True,03/09/2020,03/09/2020,True,True,"Booth, Townsend and Sanford","Booth, Townsend and Sanford",True,True
granite,batch1-1319,17820.0,17820.0,True,True,07/29/2017,07/29/2017,True,True,Cruz Ltd,Cruz Ltd,True,True
granite,batch1-0223,111.0,111.0,True,True,10/08/2013,10/08/2013,True,True,"Cook, Schwartz and Phillips","Cook, Schwartz and Phillips",True,True
granite,batch1-1261,306.44,306.44,True,True,08/08/2012,08/08/2012,True,True,Mack-Jones,Mack-Jones,True,True
granite,batch1-1075,582.7,582.7,True,True,04/19/2020,04/19/2020,True,True,"Jones, Kelly and Yang","Jones, Kelly and Yang",True,True
granite,batch1-0463,2069.23,2069.23,True,True,04/05/2019,04/05/2019,True,True,Valenzuela PLC,Valenzuela PLC,True,True
granite,batch1-0859,36623.38,36623.38,True,True,10/08/2018,10/08/2018,True,True,"Dominguez, Hunt and Garcia","Dominguez, Hunt and Garcia",True,True
granite,batch1-0549,70.52,70.52,True,True,04/09/2012,04/09/2012,True,True,Lopez-Nguyen,Lopez-Nguyen,True,True
granite,batch1-0772,195.31,195.31,True,True,07/10/2017,07/10/2017,True,True,Carney-Rogers,Carney-Rogers,True,True
granite,batch1-0556,566.78,566.78,True,True,08/10/2020,08/10/2020,True,True,Garcia-Olson,Garcia-Olson,True,True
granite,batch1-1026,3157.01,3157.01,True,True,02/25/2017,02/25/2017,True,True,Bishop Group,Bishop Group,True,True
granite,batch1-0231,18614.34,18614.34,True,True,02/27/2012,02/27/2012,True,True,Mullen-Smith,Mullen-Smith,True,True
granite,batch1-1115,16.47,16.47,True,True,07/28/2019,07/28/2019,True,True,Rogers Group,Rogers Group,True,True
granite,batch1-1047,395.99,395.99,True,True,06/10/2019,06/10/2019,True,True,"Hawkins, Howard and Acosta","Hawkins, Howard and Acosta",True,True
granite,batch1-1122,422.55,422.55,True,True,06/11/2014,06/11/2014,True,True,Henry Inc,Henry Inc,True,True
granite,batch1-0133,3454.44,3454.44,True,True,12/26/2014,12/26/2014,True,True,Preston Inc,Preston Inc,True,True
granite,batch1-0245,158490.25,158490.25,True,True,07/09/2013,07/09/2013,True,True,Kim Ltd,Kim Ltd,True,True
granite,batch1-0674,65.98,65.98,True,True,04/05/2016,04/05/2016,True,True,Nixon-Delacruz,Nixon-Delacruz,True,True
granite,batch1-0481,395.75,395.75,True,True,02/05/2014,02/05/2014,True,True,Gonzales-Callahan,Gonzales-Callahan,True,True
granite,batch1-1331,760.48,760.48,True,True,09/03/2014,09/03/2014,True,True,"Morgan, Moss and Bush","Morgan, Moss and Bush",True,True
granite,batch1-0279,3255.91,3255.91,True,True,09/04/2016,09/04/2016,True,True,"Beck, Martin and Jones","Beck, Martin and Jones",True,True
granite,batch1-0766,31774.49,31774.49,True,True,03/20/2020,03/20/2020,True,True,Winters Inc,Winters Inc,True,True
granite,batch1-1464,83.89,83.89,True,True,04/24/2012,04/24/2012,True,True,"Williams, Norman and Caldwell","Williams, Norman and Caldwell",True,True
granite,batch1-0933,328.83,328.83,True,True,08/01/2019,08/01/2019,True,True,Dunn-Campbell,Dunn-Campbell,True,True
granite,batch1-0377,692.78,692.78,True,True,01/20/2018,01/20/2018,True,True,Wilkins Ltd,Wilkins Ltd,True,True
granite,batch1-0012,5459.75,5459.75,True,True,11/22/2013,11/22/2013,True,True,"Nicholson, Miller and Webster","Nicholson, Miller and Webster",True,True
granite,batch1-0050,25738.94,25738.94,True,True,07/24/2012,07/24/2012,True,True,Lee-Brown,Lee-Brown,True,True
granite,batch1-0793,31.02,31.02,True,True,04/24/2015,04/24/2015,True,True,Weeks-Taylor,Weeks-Taylor,True,True
granite,batch1-1341,238.11,238.11,True,True,01/28/2013,01/28/2013,True,True,Sanders-Evans,Sanders-Evans,True,True
granite,batch1-1148,1221.77,1221.77,True,True,12/13/2017,12/13/2017,True,True,Prince-Gutierrez,Prince-Gutierrez,True,True
granite,batch1-0522,3834.16,3834.16,True,True,05/14/2015,05/14/2015,True,True,"Matthews, Long and Hutchinson","Matthews, Long and Hutchinson",True,True
