src,invoice_number,invoice_date,due_date,seller_name,client_name,total,tax,n_items,amt
batch1_1,84652373,02/23/2021,,Nguyen-Roach,Clark-Foster,232.95,21.18,5,232.95
batch1_1,37451664,06/11/2020,,Scott-Howard,"Williams, Schneider and Gomez",153.92,13.99,2,153.92
batch1_1,40108666,02/07/2020,,"Bailey, Murray and Lewis",Hester Inc,498.21,45.29,3,498.21
batch1_1,73285932,07/25/2017,,"Merritt, Williams and Young","Olson, Cisneros and Moore",677.47,61.59,7,677.47
batch1_1,15288019,09/07/2014,,Fernandez Ltd,Wilson-Wilson,1.71,0.16,1,1.71
batch1_1,57290992,10/03/2011,,Adams PLC,"Johnson, Daniels and Ramirez","70 577,35","6 416,12",3,7057735.0
batch1_1,56908352,01/11/2015,,"Lozano, Wang and Smith","Evans, Curtis and Salinas",188.11,17.10,3,188.11
batch1_1,20012449,04/22/2013,,Jackson Ltd,Combs Inc,"360,58","32,78",2,36058.0
batch1_1,87734908,12/19/2019,,"Chase, Green and Bailey","Buckley, Wright and Chase",6.58,0.60,1,6.58
batch1_1,92059706,04/28/2017,,"Archer, Davis and Hudson","Barton, Decker and Ferguson",3 838.87,348.99,3,3838.87
batch1_1,72591450,05/13/2012,,"Bishop, Kelley and Wright","Allen, Murray and Carroll","5 283,18","480,29",7,528318.0
batch1_1,35593328,06/08/2011,,Cruz-Carter,Alexander-Arias,3004.96,273.18,4,3004.96
batch1_1,32135544,08/16/2014,,Reed and Sons,Lucas-Barnett,689.19,62.65,6,689.19
batch1_1,67117171,01/27/2021,,"Gilmore, Brady and Carter",Phillips-Moreno,172.22,15.66,2,172.22
batch1_1,86164702,05/15/2020,,"Peterson, Hester and Mckee","Hernandez, Wright and Pena","714,95","65,00",1,71495.0
batch1_1,46920651,11/15/2015,,Powell Ltd,"Clark, Brown and Jones",386.60,38.66,7,386.6
batch1_1,15001300,02/18/2014,,"Kerr, Ryan and Gomez",Mason Ltd,327.08,29.73,5,327.08
batch1_1,25210895,05/14/2019,,Lyons Inc,Watson-Blanchard,89.06,8.10,2,89.06
batch1_1,76619276,11/16/2011,,"Bailey, Adams and Pacheco",Morgan Ltd,343.87,31.26,3,343.87
batch1_1,49565075,10/28/2019,,Kane-Morgan,Garcia Inc,96.73,8.79,3,96.73
batch1_1,36475327,08/23/2020,,Faulkner Group,Mendoza-Scott,5605.15,509.56,7,5605.15
batch1_1,65123866,11/20/2012,,"Potts, Pittman and Beck",Garcia-Perkins,913.65,83.06,6,913.65
batch1_1,61819195,08/28/2019,,Mason-Beltran,"Morrison, Stewart and Graham",312.04,28.37,3,312.04
batch1_1,20295549,11/20/2011,,Williams-Morris,Ward-Jordan,7237.02,657.91,6,7237.02
batch1_1,63131640,06/21/2015,,White PLC,"Richards, Williams and Houston",740.69,67.34,4,740.69
batch1_1,78605417,08/07/2017,,Campos LLC,Wilson-Hernandez,722.11,65.65,7,722.11
batch1_1,33102457,09/18/2018,,Harris LLC,"Pierce, Bush and Jones","18 281,24","1 661,93",2,1828124.0
batch1_1,57696752,10/03/2017,,Lopez-Smith,"Rodriguez, Grant and Green","2 235,20","203,20",3,223520.0
batch1_1,66389180,07/30/2016,,Mercer-Donovan,Murphy LLC,291.92,26.54,6,291.92
batch1_1,93219493,05/16/2019,,James PLC,Bryant-Taylor,1255.00,114.09,5,1255.0
batch1_1,13367493,02/21/2012,,"Terry, Crawford and Vega",Martin-Schmidt,494.89,44.99,6,494.89
batch1_1,20591219,01/12/2019,,"Schneider, Aguirre and Dennis",Black-Jackson,771.01,70.09,7,771.01
batch1_1,47037480,09/03/2012,,Fernandez-Evans,Ruiz-Cowan,"8 621,78","783,80",3,862178.0
batch1_1,77169807,05/13/2018,,"Flores, David and Fleming",Williams Group,"44,00","4,00",1,4400.0
batch1_1,12408005,08/08/2019,,Gonzales-Hart,"Shepard, Garcia and Summers",186.96,17.00,2,186.96
batch1_1,34855339,03/09/2020,,Alexander-Valenzuela,Reyes-Sampson,86.56,8.66,1,86.56
batch1_1,60518602,08/30/2016,,Ross Group,Leblanc and Sons,2568.45,233.50,3,2568.45
batch1_1,86575728,11/24/2014,,Johnson-Young,"Garcia, Meyer and Cook","997,37","90,67",6,99737.0
