file_name,amount,seq
batch1-0182,127.31,1
batch1-1294,192.5,2
batch1-1100,500.29,3
batch1-0345,6591.93,4
batch1-1375,21089.9,5
batch1-0474,44.28,6
batch1-1224,165.42,7
batch1-0572,462.77,8
batch1-0475,1883.91,9
batch1-1480,9556.58,10
batch1-0742,119.23,11
batch1-0884,275.0,12
batch1-0864,812.56,13
batch1-1165,6640.07,14
batch1-0415,21710.03,15
batch1-0471,40.3,16
batch1-0902,181.5,17
batch1-1019,409.05,18
batch1-0093,2235.2,19
batch1-0704,32880.8,20
batch1-0790,4.94,21
batch1-0296,169.25,22
batch1-1055,459.79,23
batch1-0336,4746.42,24
batch1-1325,39935.77,25
batch1-0724,55.66,26
batch1-1151,331.99,27
batch1-0088,500.24,28
batch1-1349,4783.7,29
batch1-0817,55378.76,30
batch1-0397,159.45,31
batch1-0979,220.44,32
batch1-0165,698.89,33
batch1-1312,1980.0,34
batch1-0500,34486.08,35
batch1-0073,53.96,36
batch1-1273,280.5,37
batch1-1226,1393.63,38
batch1-0427,3756.43,39
batch1-0964,33794.35,40
batch1-0809,60.45,41
batch1-0283,314.27,42
batch1-0796,882.05,43
batch1-1439,2463.78,44
batch1-0367,93439.3,45
batch1-0452,39.53,46
batch1-0108,360.58,47
batch1-0824,589.41,48
batch1-0851,5224.97,49
batch1-0560,14030.36,50
batch1-0428,10.98,51
batch1-0897,341.63,52
batch1-1178,675.82,53
batch1-1290,1512.48,54
batch1-0120,9908.95,55
batch1-0903,111.07,56
batch1-0705,255.64,57
batch1-1046,623.65,58
batch1-0816,2172.39,59
batch1-0677,16231.52,60
batch1-1185,14.0,61
batch1-0569,224.75,62
batch1-0914,529.9,63
batch1-0697,4113.92,64
batch1-1319,17820.0,65
batch1-0223,111.0,66
batch1-1261,306.44,67
batch1-1075,582.7,68
batch1-0463,2069.23,69
batch1-0859,36623.38,70
batch1-0549,70.52,71
batch1-0772,195.31,72
batch1-0556,566.78,73
batch1-1026,3157.01,74
batch1-0231,18614.34,75
batch1-1115,16.47,76
batch1-1047,395.99,77
batch1-1122,422.55,78
batch1-0133,3454.44,79
batch1-0245,158490.25,80
batch1-0674,65.98,81
batch1-0481,395.75,82
batch1-1331,760.48,83
batch1-0279,3255.91,84
batch1-0766,31774.49,85
batch1-1464,83.89,86
batch1-0933,328.83,87
batch1-0377,692.78,88
batch1-0012,5459.75,89
batch1-0050,25738.94,90
batch1-0793,31.02,91
batch1-1341,238.11,92
batch1-1148,1221.77,93
batch1-0522,3834.16,94
batch1-1025,15416.49,95
batch1-0169,25.52,96
batch1-1231,188.09,97
batch1-1381,538.67,98
batch1-0710,4272.92,99
batch1-0686,19330.41,100
batch1-1109,138.9,101
batch1-1287,173.8,102
batch1-1434,631.31,103
batch1-1169,4845.38,104
batch1-0026,9256.59,105
batch1-1051,110.0,106
batch1-1090,293.05,107
batch1-0932,916.21,108
batch1-0238,3065.64,109
batch1-0449,17711.25,110
batch1-1123,37.05,111
batch1-1403,219.89,112
batch1-1071,1126.13,113
batch1-1266,2858.84,114
batch1-1222,44262.48,115
batch1-0846,97.33,116
batch1-1166,228.71,117
batch1-1469,1129.04,118
batch1-0883,2345.76,119
batch1-0434,20986.37,120
batch1-0060,32.83,121
batch1-0126,274.42,122
batch1-0454,993.96,123
batch1-0717,4618.75,124
batch1-1068,33527.36,125
batch1-0167,86.56,126
batch1-0292,328.2,127
batch1-0266,760.1,128
batch1-0981,3490.29,129
batch1-0174,15937.63,130
batch1-1473,102.3,131
batch1-0100,235.79,132
batch1-0716,415.75,133
batch1-1377,5256.04,134
batch1-0692,7397.59,135
batch1-0374,6.6,136
batch1-1225,285.95,137
batch1-1344,816.49,138
batch1-0764,3766.06,139
batch1-0286,18471.6,140
batch1-0843,10.99,141
batch1-0049,342.87,142
batch1-1132,767.32,143
batch1-0757,1682.77,144
batch1-1484,7096.28,145
batch1-1124,158.4,146
batch1-1453,365.2,147
batch1-1134,577.31,148
batch1-1297,6494.81,149
batch1-0134,10818.95,150
batch1-1481,75.57,151
batch1-1024,242.7,152
batch1-1269,1116.62,153
batch1-1099,4532.0,154
batch1-0992,23844.07,155
batch1-1023,158.38,156
batch1-0270,331.78,157
batch1-0018,518.8,158
batch1-0163,1802.53,159
batch1-0836,53782.93,160
batch1-1210,105.94,161
batch1-1445,287.28,162
batch1-0390,502.74,163
batch1-0341,5950.69,164
batch1-0277,30210.16,165
batch1-0548,111.31,166
batch1-0755,405.67,167
batch1-1362,1124.0,168
batch1-0376,2568.45,169
batch1-1193,11021.86,170
batch1-1089,146.27,171
batch1-0033,329.84,172
batch1-0813,901.92,173
batch1-0503,2694.13,174
batch1-1332,19709.8,175
batch1-0358,26.53,176
batch1-0172,171.24,177
batch1-0547,1253.94,178
batch1-0194,3221.63,179
batch1-1093,19938.2,180
batch1-1244,98.58,181
batch1-1103,351.96,182
batch1-1131,1095.56,183
batch1-0122,2617.93,184
batch1-0848,30468.27,185
batch1-0949,26.94,186
batch1-1199,321.32,187
batch1-0230,570.82,188
batch1-1198,4583.61,189
batch1-0459,20085.99,190
batch1-0965,16.14,191
batch1-1421,197.96,192
batch1-1034,852.5,193
batch1-0963,5230.4,194
batch1-1183,23454.63,195
batch1-0987,40.69,196
batch1-0383,304.92,197
batch1-0862,605.0,198
batch1-0826,3305.18,199
batch1-0421,16537.65,200
batch1-0876,139.66,201
batch1-1374,167.16,202
batch1-1382,471.35,203
batch1-1456,3340.78,204
batch1-0868,18454.56,205
batch1-0329,46.75,206
batch1-1171,269.96,207
batch1-1049,687.5,208
batch1-0791,5013.8,209
batch1-0310,11880.0,210
batch1-0935,71.96,211
batch1-1470,400.4,212
batch1-1080,464.87,213
batch1-1218,1627.96,214
batch1-0890,15488.29,215
batch1-0801,104.45,216
batch1-0210,386.6,217
batch1-1069,1152.24,218
batch1-0901,1497.9,219
batch1-0745,114385.48,220
batch1-0760,52.8,221
batch1-1299,227.96,222
batch1-0260,1023.94,223
batch1-1162,5345.89,224
batch1-1423,9767.56,225
batch1-0962,143.0,226
batch1-0711,214.41,227
batch1-1180,659.67,228
batch1-0735,3241.81,229
batch1-0265,15803.26,230
batch1-0833,131.92,231
batch1-1411,166.91,232
batch1-0536,1121.93,233
batch1-0301,1759.88,234
batch1-0036,8479.08,235
batch1-0373,105.6,236
batch1-0435,312.04,237
batch1-0853,1208.85,238
batch1-1130,6232.82,239
batch1-1416,8389.96,240
batch1-1422,130.84,241
batch1-1056,339.79,242
batch1-0497,677.47,243
batch1-0061,5743.69,244
batch1-0161,113938.41,245
batch1-0854,14.82,246
batch1-0810,229.17,247
batch1-1311,546.16,248
batch1-1380,2298.03,249
batch1-0337,15231.45,250
batch1-0181,74.8,251
batch1-1158,324.41,252
batch1-0202,1182.5,253
batch1-1369,4651.38,254
batch1-0767,58667.76,255
batch1-0152,161.94,256
batch1-0525,172.41,257
batch1-1112,412.7,258
batch1-0891,4643.14,259
batch1-1013,81492.41,260
batch1-1420,43.98,261
batch1-1137,187.85,262
batch1-0237,1022.88,263
batch1-1365,1474.0,264
batch1-1173,29325.79,265
batch1-0141,43.95,266
batch1-0829,328.79,267
batch1-0734,1057.33,268
batch1-0669,4828.97,269
batch1-1144,8905.77,270
batch1-0869,52.44,271
batch1-0075,179.75,272
batch1-0892,664.02,273
batch1-1030,1800.81,274
batch1-0226,22409.38,275
batch1-0011,91.27,276
batch1-0320,186.96,277
batch1-0665,496.43,278
batch1-1105,3762.43,279
batch1-1081,46273.39,280
batch1-0142,104.97,281
batch1-1386,280.5,282
batch1-0119,701.72,283
batch1-0542,2837.86,284
batch1-0561,15094.83,285
batch1-0269,87.96,286
batch1-0446,359.26,287
batch1-0107,514.02,288
batch1-0175,5375.57,289
batch1-1146,10661.46,290
batch1-0920,116.29,291
batch1-0770,217.48,292
batch1-0381,665.49,293
batch1-0398,5370.54,294
batch1-0430,70053.37,295
batch1-0737,49.38,296
batch1-0758,290.18,297
batch1-0201,1159.39,298
batch1-0830,1408.94,299
batch1-0124,7737.7,300
batch1-0024,98.95,301
batch1-0683,320.65,302
batch1-0504,1176.62,303
batch1-0084,2322.84,304
batch1-0950,15804.54,305
batch1-0297,8.8,306
batch1-0993,257.95,307
batch1-0004,819.06,308
batch1-0566,3899.74,309
batch1-0244,9091.2,310
batch1-0114,2.99,311
batch1-1139,230.97,312
batch1-0880,420.39,313
batch1-1447,3695.93,314
batch1-1366,7933.79,315
batch1-0530,36.3,316
batch1-0146,205.21,317
batch1-0170,771.01,318
batch1-0030,2934.7,319
batch1-0934,72257.7,320
batch1-0218,78.58,321
batch1-0426,219.98,322
batch1-1474,442.93,323
batch1-0323,3153.58,324
batch1-0154,24038.28,325
batch1-0768,19.67,326
