model,file_name,char_sim,tok_recall,tok_precision,num_recall,num_precision,bag_tok_recall,bag_num_recall,bag_num_precision,n_tok_ans,n_num_ans
granite,batch1-0182,78.28,74.53,74.53,56.67,58.62,92.45,70.0,72.41,106,30
granite,batch1-1294,74.54,72.22,71.56,32.14,33.33,96.3,71.43,74.07,108,28
granite,batch1-1100,78.22,75.0,75.0,57.89,57.89,95.69,81.58,81.58,116,38
granite,batch1-0345,72.98,70.0,70.83,54.9,53.85,92.35,76.47,75.0,170,51
granite,batch1-1375,70.58,67.26,66.47,54.17,55.32,94.64,77.08,78.72,168,48
granite,batch1-0474,78.13,74.07,76.19,66.67,69.23,94.44,81.48,84.62,108,27
granite,batch1-1224,78.49,75.68,74.67,60.0,60.0,95.27,75.0,75.0,148,40
granite,batch1-0572,67.87,63.58,57.89,26.09,25.0,95.38,76.09,72.92,173,46
granite,batch1-0475,69.52,67.53,65.83,20.34,21.05,94.33,62.71,64.91,194,59
granite,batch1-1480,66.61,69.57,68.09,49.12,48.28,94.57,73.68,72.41,184,57
granite,batch1-0742,77.16,76.0,76.0,65.52,67.86,96.0,79.31,82.14,100,29
granite,batch1-0884,66.72,79.49,32.63,73.91,85.0,83.33,73.91,85.0,78,23
granite,batch1-0864,75.38,71.66,71.66,24.49,26.09,95.72,69.39,73.91,187,49
granite,batch1-1165,72.5,63.37,70.32,45.28,48.0,82.56,69.81,74.0,172,53
granite,batch1-0415,70.81,68.35,66.9,35.29,35.29,97.12,70.59,70.59,139,34
granite,batch1-0471,80.11,76.4,75.56,74.07,74.07,95.51,96.3,96.3,89,27
granite,batch1-0902,78.31,77.38,76.47,54.55,50.0,96.43,86.36,79.17,84,22
granite,batch1-1019,71.56,68.52,67.68,25.53,26.67,96.3,74.47,77.78,162,47
granite,batch1-0093,76.24,73.77,75.0,35.29,35.29,94.26,79.41,79.41,122,34
granite,batch1-0704,70.46,66.48,66.48,60.47,63.41,95.53,74.42,78.05,179,43
granite,batch1-0790,83.82,77.38,83.33,66.67,66.67,84.52,66.67,66.67,84,21
granite,batch1-0296,78.97,75.21,73.95,34.29,34.29,95.73,77.14,77.14,117,35
granite,batch1-1055,74.6,71.04,69.52,51.06,48.98,96.17,76.6,73.47,183,47
granite,batch1-0336,71.19,69.23,65.85,64.29,65.85,96.15,76.19,78.05,156,42
granite,batch1-1325,71.41,67.94,66.05,57.14,63.64,97.61,69.39,77.27,209,49
granite,batch1-0724,76.16,73.48,71.85,64.86,64.86,96.21,86.49,86.49,132,37
granite,batch1-1151,72.1,67.39,66.91,57.78,61.9,96.38,82.22,88.1,138,45
granite,batch1-0088,75.94,74.12,72.0,69.77,71.43,95.29,83.72,85.71,170,43
granite,batch1-1349,71.74,68.78,68.06,57.38,56.45,92.59,80.33,79.03,189,61
granite,batch1-0817,73.18,68.25,68.98,24.49,25.0,94.18,73.47,75.0,189,49
granite,batch1-0397,72.75,74.71,72.57,59.09,60.47,97.06,75.0,76.74,170,44
granite,batch1-0979,77.42,73.83,73.83,40.0,38.71,95.33,83.33,80.65,107,30
granite,batch1-0165,75.41,73.47,72.48,63.41,68.42,95.24,75.61,81.58,147,41
granite,batch1-1312,76.7,76.74,75.86,48.0,46.15,100.0,100.0,96.15,86,25
granite,batch1-0500,71.28,69.59,67.32,60.53,57.5,95.27,78.95,75.0,148,38
granite,batch1-0073,74.98,74.02,74.02,66.67,66.67,92.91,78.79,78.79,127,33
granite,batch1-1273,73.24,71.58,70.1,66.67,62.07,97.89,85.19,79.31,95,27
granite,batch1-1226,77.25,77.19,76.52,72.73,75.0,96.49,87.88,90.62,114,33
granite,batch1-0427,73.43,71.74,69.23,34.29,29.27,95.65,82.86,70.73,138,35
granite,batch1-0964,69.52,66.08,64.94,20.45,20.93,97.08,70.45,72.09,171,44
granite,batch1-0809,74.58,72.29,70.59,44.44,42.86,98.8,96.3,92.86,83,27
granite,batch1-0283,80.98,75.61,82.3,58.82,68.97,86.99,58.82,68.97,123,34
granite,batch1-0796,76.3,74.25,72.51,26.09,27.27,96.41,76.09,79.55,167,46
granite,batch1-1439,78.61,75.25,74.51,66.67,68.97,97.03,86.67,89.66,101,30
granite,batch1-0367,70.01,66.67,65.59,57.14,61.54,97.27,69.05,74.36,183,42
granite,batch1-0452,85.03,86.42,86.42,80.77,80.77,98.77,100.0,100.0,81,26
granite,batch1-0108,80.48,77.66,76.84,70.37,65.52,96.81,88.89,82.76,94,27
granite,batch1-0824,70.28,68.35,65.07,27.27,26.67,92.81,79.55,77.78,139,44
granite,batch1-0851,77.01,68.64,71.05,32.43,33.33,89.83,78.38,80.56,118,37
granite,batch1-0560,75.4,71.9,70.97,69.44,69.44,96.73,86.11,86.11,153,36
granite,batch1-0428,84.79,76.32,92.06,70.83,89.47,78.95,70.83,89.47,76,24
granite,batch1-0897,79.9,78.26,76.6,68.0,62.96,97.83,88.0,81.48,92,25
granite,batch1-1178,77.69,72.67,71.78,66.67,68.18,95.65,84.44,86.36,161,45
granite,batch1-1290,71.94,69.72,69.72,41.38,41.38,97.25,82.76,82.76,109,29
granite,batch1-0120,68.46,67.42,63.49,60.66,59.68,95.51,77.05,75.81,178,61
granite,batch1-0903,74.23,71.56,70.91,63.64,67.74,96.33,84.85,90.32,109,33
granite,batch1-0705,71.25,66.41,65.38,37.5,37.5,96.09,75.0,75.0,128,32
granite,batch1-1046,74.75,73.24,71.23,23.08,23.08,96.48,74.36,74.36,142,39
granite,batch1-0816,71.63,72.82,72.12,70.0,65.62,97.09,90.0,84.38,103,30
granite,batch1-0677,73.59,69.19,68.45,24.49,25.0,95.68,77.55,79.17,185,49
granite,batch1-1185,84.54,77.78,88.73,69.57,80.0,85.19,69.57,80.0,81,23
granite,batch1-0569,76.92,73.12,72.22,25.53,26.67,95.0,74.47,77.78,160,47
granite,batch1-0914,73.44,68.91,68.91,54.84,53.12,93.28,74.19,71.88,119,31
granite,batch1-0697,74.15,72.83,70.39,68.75,70.21,94.22,79.17,80.85,173,48
granite,batch1-1319,75.42,75.0,75.0,72.41,72.41,97.41,82.76,82.76,116,29
granite,batch1-0223,80.48,73.04,81.55,64.52,74.07,85.22,67.74,77.78,115,31
granite,batch1-1261,77.47,77.16,74.85,72.09,70.45,98.15,83.72,81.82,162,43
granite,batch1-1075,76.47,73.29,71.52,26.09,27.27,97.52,78.26,81.82,161,46
granite,batch1-0463,79.35,72.73,80.0,60.0,65.62,86.78,68.57,75.0,121,35
granite,batch1-0859,72.05,67.88,69.92,58.33,63.64,94.16,80.56,87.88,137,36
granite,batch1-0549,84.0,77.42,87.8,71.43,90.91,83.87,71.43,90.91,93,28
granite,batch1-0772,69.58,64.66,66.37,61.29,65.52,93.97,80.65,86.21,116,31
granite,batch1-0556,74.51,70.83,70.0,55.32,53.06,95.24,76.6,73.47,168,47
granite,batch1-1026,74.07,71.94,70.42,60.0,61.76,97.12,80.0,82.35,139,35
granite,batch1-0231,73.84,69.71,68.16,60.0,61.36,97.14,75.56,77.27,175,45
granite,batch1-1115,76.58,73.75,76.62,72.73,66.67,92.5,100.0,91.67,80,22
granite,batch1-1047,73.52,72.12,68.81,65.52,59.38,98.08,89.66,81.25,104,29
granite,batch1-1122,72.26,67.23,66.85,60.0,65.85,95.48,73.33,80.49,177,45
granite,batch1-0133,76.24,72.64,81.05,42.86,41.38,85.85,85.71,82.76,106,28
granite,batch1-0245,70.71,67.16,65.87,26.67,27.91,98.04,73.33,76.74,204,45
granite,batch1-0674,79.17,78.75,76.83,59.09,54.17,97.5,100.0,91.67,80,22
granite,batch1-0481,72.14,71.21,69.63,62.16,60.53,96.21,78.38,76.32,132,37
granite,batch1-1331,74.24,73.37,72.09,26.09,24.49,96.45,76.09,71.43,169,46
granite,batch1-0279,74.66,72.99,70.42,71.79,68.29,96.35,84.62,80.49,137,39
granite,batch1-0766,75.77,66.47,71.07,56.52,65.0,87.06,60.87,70.0,170,46
granite,batch1-1464,83.12,76.85,87.37,64.52,76.92,83.33,64.52,76.92,108,31
granite,batch1-0933,71.59,72.31,69.12,67.57,64.1,98.46,86.49,82.05,130,37
granite,batch1-0377,79.93,76.71,75.68,66.67,68.29,96.58,80.95,82.93,146,42
granite,batch1-0012,77.19,73.81,75.0,63.89,69.7,94.44,80.56,87.88,126,36
granite,batch1-0050,69.67,63.97,65.41,35.29,36.36,94.12,70.59,72.73,136,34
granite,batch1-0793,79.64,77.92,76.92,52.17,48.0,97.4,91.3,84.0,77,23
granite,batch1-1341,75.47,73.13,70.5,31.58,30.0,98.51,86.84,82.5,134,38
granite,batch1-1148,73.92,66.94,66.94,29.27,28.57,93.55,85.37,83.33,124,41
granite,batch1-0522,73.07,72.15,70.81,54.17,55.32,98.1,83.33,85.11,158,48
granite,batch1-1025,74.39,73.24,71.89,55.93,56.9,96.71,79.66,81.03,213,59
granite,batch1-0169,78.56,79.49,79.49,70.83,70.83,98.72,95.83,95.83,78,24
granite,batch1-1231,80.89,79.82,77.68,70.0,65.62,98.17,86.67,81.25,109,30
granite,batch1-1381,74.38,67.76,67.76,30.0,31.58,92.76,70.0,73.68,152,40
granite,batch1-0710,68.81,66.51,65.0,54.41,53.62,94.88,80.88,79.71,215,68
granite,batch1-0686,72.68,70.11,69.71,63.64,68.29,97.7,77.27,82.93,174,44
granite,batch1-1109,74.45,77.56,76.1,60.0,64.29,95.51,77.78,83.33,156,45
granite,batch1-1287,74.62,73.63,72.04,65.38,58.62,97.8,88.46,79.31,91,26
granite,batch1-1434,81.07,77.44,76.05,69.77,68.18,95.12,81.4,79.55,164,43
granite,batch1-1169,76.21,72.48,72.48,65.12,66.67,95.97,81.4,83.33,149,43
granite,batch1-0026,70.85,71.82,71.17,62.07,62.07,99.09,82.76,82.76,110,29
granite,batch1-1051,83.0,74.39,87.14,62.5,71.43,81.71,66.67,76.19,82,24
granite,batch1-1090,76.95,73.68,72.0,65.38,68.0,97.08,82.69,86.0,171,52
granite,batch1-0932,75.8,75.0,73.17,70.83,65.38,97.5,83.33,76.92,80,24
granite,batch1-0238,75.25,72.08,71.61,27.27,27.27,96.75,75.0,75.0,154,44
granite,batch1-0449,71.64,67.76,67.13,24.49,25.0,94.39,77.55,79.17,214,49
granite,batch1-1123,83.42,76.64,85.42,68.75,78.57,85.05,71.88,82.14,107,32
granite,batch1-1403,74.65,72.22,71.56,56.67,58.62,98.15,76.67,79.31,108,30
granite,batch1-1071,71.73,71.43,69.89,62.5,57.69,98.9,87.5,80.77,91,24
granite,batch1-1266,74.03,68.03,68.6,34.29,32.43,92.62,77.14,72.97,122,35
granite,batch1-1222,71.18,66.15,65.82,58.49,59.62,95.38,73.58,75.0,195,53
granite,batch1-0846,79.12,67.54,77.78,58.06,69.23,81.58,58.06,69.23,114,31
granite,batch1-1166,72.27,69.23,66.18,64.71,64.71,96.92,85.29,85.29,130,34
granite,batch1-1469,80.7,74.04,79.38,60.61,68.97,87.5,69.7,79.31,104,33
granite,batch1-0883,69.77,67.93,66.49,20.0,20.0,95.11,83.64,83.64,184,55
granite,batch1-0434,74.27,71.22,70.71,64.71,66.67,97.12,85.29,87.88,139,34
granite,batch1-0060,83.88,78.31,80.25,72.73,69.57,92.77,81.82,78.26,83,22
granite,batch1-0126,74.6,69.67,69.11,56.25,56.25,95.08,75.0,75.0,122,32
granite,batch1-0454,78.03,72.28,71.57,70.37,70.37,96.04,92.59,92.59,101,27
granite,batch1-0717,70.07,69.7,68.05,54.55,53.57,93.33,80.0,78.57,165,55
granite,batch1-1068,72.71,68.23,67.88,60.38,65.31,95.83,73.58,79.59,192,53
granite,batch1-0167,76.95,78.48,78.48,82.61,76.0,96.2,100.0,92.0,79,23
granite,batch1-0292,73.73,73.64,73.08,63.64,65.62,97.67,87.88,90.62,129,33
granite,batch1-0266,75.9,74.76,74.04,67.74,70.0,97.09,90.32,93.33,103,31
granite,batch1-0981,70.01,69.03,69.03,58.7,60.0,94.84,80.43,82.22,155,46
granite,batch1-0174,77.02,76.8,76.19,64.52,66.67,97.6,77.42,80.0,125,31
granite,batch1-1473,85.66,80.41,90.7,68.97,86.96,87.63,68.97,86.96,97,29
granite,batch1-0100,75.5,72.36,72.36,64.71,68.75,97.56,79.41,84.38,123,34
granite,batch1-0716,81.14,74.23,81.82,59.26,66.67,86.6,62.96,70.83,97,27
granite,batch1-1377,71.6,66.46,66.04,48.08,48.08,93.67,78.85,78.85,158,52
granite,batch1-0692,68.65,65.05,62.91,50.77,45.83,95.63,81.54,73.61,206,65
granite,batch1-0374,75.98,75.64,74.68,65.22,62.5,97.44,91.3,87.5,78,23
granite,batch1-1225,78.3,75.27,75.27,67.86,65.52,96.77,85.71,82.76,93,28
granite,batch1-1344,71.46,69.33,67.26,60.53,58.97,96.32,76.32,74.36,163,38
granite,batch1-0764,71.95,68.9,68.9,56.14,56.14,94.51,77.19,77.19,164,57
granite,batch1-0286,69.09,66.86,67.65,20.0,20.93,94.19,71.11,74.42,172,45
granite,batch1-0843,81.81,75.0,87.69,65.22,75.0,81.58,65.22,75.0,76,23
granite,batch1-0049,75.09,71.67,71.07,60.61,60.61,96.67,84.85,84.85,120,33
