file_name,field,doc_value,cond_value,is_defect,injected,amount
batch1-0494,total,232.95,233.18,True,True,232.95
batch1-0489,total,153.92,153.92,False,False,153.92
batch1-0499,total,498.21,497.71,True,True,498.21
batch1-0497,total,677.47,678.15,True,True,677.47
batch1-0081,total,1.71,1.71,False,False,1.71
batch1-0105,total,70577.35,70506.77,True,True,70577.35
batch1-0019,total,188.11,188.11,False,False,188.11
batch1-0108,total,360.58,360.58,False,False,360.58
batch1-0087,total,6.58,6.59,False,True,6.58
batch1-0151,total,3838.87,3835.03,True,True,3838.87
batch1-0187,total,5283.18,5277.9,True,True,5283.18
batch1-0039,total,3004.96,3007.96,True,True,3004.96
batch1-0490,total,689.19,689.88,True,True,689.19
batch1-0196,total,172.22,172.22,False,False,172.22
batch1-0132,total,714.95,714.95,False,False,714.95
batch1-0210,total,386.6,386.99,True,True,386.6
batch1-0020,total,327.08,327.08,False,False,327.08
batch1-0276,total,89.06,88.97,True,True,89.06
batch1-0300,total,343.87,343.53,True,True,343.87
batch1-0158,total,96.73,96.73,False,False,96.73
batch1-0136,total,5605.15,5599.54,True,True,5605.15
batch1-0274,total,913.65,912.74,True,True,913.65
batch1-0435,total,312.04,311.73,True,True,312.04
batch1-0384,total,7237.02,7237.02,False,False,7237.02
batch1-0401,total,740.69,740.69,False,False,740.69
batch1-0035,total,722.11,722.83,True,True,722.11
batch1-0023,total,18281.24,18262.96,True,True,18281.24
batch1-0093,total,2235.2,2232.96,True,True,2235.2
batch1-0080,total,291.92,292.21,True,True,291.92
batch1-0059,total,1255.0,1253.74,True,True,1255.0
batch1-0056,total,494.89,494.89,False,False,494.89
batch1-0170,total,771.01,770.24,True,True,771.01
batch1-0123,total,8621.78,8613.16,True,True,8621.78
batch1-0137,total,44.0,43.96,True,True,44.0
batch1-0320,total,186.96,187.15,True,True,186.96
batch1-0167,total,86.56,86.47,True,True,86.56
batch1-0376,total,2568.45,2565.88,True,True,2568.45
batch1-0361,total,997.37,996.37,True,True,997.37
batch1-0439,total,141.87,141.73,True,True,141.87
batch1-0391,total,1026.71,1026.71,False,False,1026.71
batch1-0362,total,3393.4,3396.79,True,True,3393.4
batch1-0098,total,1.99,1.99,False,True,1.99
batch1-0095,total,32.95,32.98,True,True,32.95
batch1-0026,total,9256.59,9256.59,False,False,9256.59
batch1-0082,total,371.51,371.88,True,True,371.51
batch1-0114,total,2.99,2.99,False,True,2.99
batch1-0067,total,21.56,21.54,True,True,21.56
batch1-0094,total,394.19,394.58,True,True,394.19
batch1-0115,total,55.0,54.94,True,True,55.0
batch1-0229,total,5101.77,5106.87,True,True,5101.77
batch1-0124,total,7737.7,7737.7,False,False,7737.7
batch1-0293,total,12.76,12.76,False,False,12.76
batch1-0298,total,162.33,162.49,True,True,162.33
batch1-0433,total,306.82,306.51,True,True,306.82
batch1-0263,total,247.84,247.84,False,False,247.84
