file_name,field,doc_value,cond_value,is_defect,injected,amount
batch1-0494,total,232.95,235.28,True,True,232.95
batch1-0489,total,153.92,153.92,False,False,153.92
batch1-0499,total,498.21,493.23,True,True,498.21
batch1-0497,total,677.47,684.24,True,True,677.47
batch1-0081,total,1.71,1.71,False,False,1.71
batch1-0105,total,70577.35,69871.58,True,True,70577.35
batch1-0019,total,188.11,188.11,False,False,188.11
batch1-0108,total,360.58,360.58,False,False,360.58
batch1-0087,total,6.58,6.65,True,True,6.58
batch1-0151,total,3838.87,3800.48,True,True,3838.87
batch1-0187,total,5283.18,5230.35,True,True,5283.18
batch1-0039,total,3004.96,3035.01,True,True,3004.96
batch1-0490,total,689.19,696.08,True,True,689.19
batch1-0196,total,172.22,172.22,False,False,172.22
batch1-0132,total,714.95,714.95,False,False,714.95
batch1-0210,total,386.6,390.47,True,True,386.6
batch1-0020,total,327.08,327.08,False,False,327.08
batch1-0276,total,89.06,88.17,True,True,89.06
batch1-0300,total,343.87,340.43,True,True,343.87
batch1-0158,total,96.73,96.73,False,False,96.73
batch1-0136,total,5605.15,5549.1,True,True,5605.15
batch1-0274,total,913.65,904.51,True,True,913.65
batch1-0435,total,312.04,308.92,True,True,312.04
batch1-0384,total,7237.02,7237.02,False,False,7237.02
batch1-0401,total,740.69,740.69,False,False,740.69
batch1-0035,total,722.11,729.33,True,True,722.11
batch1-0023,total,18281.24,18098.43,True,True,18281.24
batch1-0093,total,2235.2,2212.85,True,True,2235.2
batch1-0080,total,291.92,294.84,True,True,291.92
batch1-0059,total,1255.0,1242.45,True,True,1255.0
batch1-0056,total,494.89,494.89,False,False,494.89
batch1-0170,total,771.01,763.3,True,True,771.01
batch1-0123,total,8621.78,8535.56,True,True,8621.78
batch1-0137,total,44.0,43.56,True,True,44.0
batch1-0320,total,186.96,188.83,True,True,186.96
batch1-0167,total,86.56,85.69,True,True,86.56
batch1-0376,total,2568.45,2542.77,True,True,2568.45
batch1-0361,total,997.37,987.4,True,True,997.37
batch1-0439,total,141.87,140.45,True,True,141.87
batch1-0391,total,1026.71,1026.71,False,False,1026.71
batch1-0362,total,3393.4,3427.33,True,True,3393.4
batch1-0098,total,1.99,1.97,True,True,1.99
batch1-0095,total,32.95,33.28,True,True,32.95
batch1-0026,total,9256.59,9256.59,False,False,9256.59
batch1-0082,total,371.51,375.23,True,True,371.51
batch1-0114,total,2.99,3.02,True,True,2.99
batch1-0067,total,21.56,21.34,True,True,21.56
batch1-0094,total,394.19,398.13,True,True,394.19
batch1-0115,total,55.0,54.45,True,True,55.0
batch1-0229,total,5101.77,5152.79,True,True,5101.77
batch1-0124,total,7737.7,7737.7,False,False,7737.7
batch1-0293,total,12.76,12.76,False,False,12.76
batch1-0298,total,162.33,163.95,True,True,162.33
batch1-0433,total,306.82,303.75,True,True,306.82
batch1-0263,total,247.84,247.84,False,False,247.84
batch1-0078,total,312.93,309.8,True,True,312.93
batch1-0066,total,1.99,2.01,True,True,1.99
batch1-0015,total,1469.45,1454.76,True,True,1469.45
batch1-0428,total,10.98,10.87,True,True,10.98
batch1-0006,total,732.34,725.02,True,True,732.34
batch1-0363,total,21.45,21.66,True,True,21.45
batch1-0461,total,48.14,48.14,False,False,48.14
batch1-0011,total,91.27,92.18,True,True,91.27
batch1-0041,total,194521.7,192576.48,True,True,194521.7
batch1-0040,total,191.26,191.26,False,False,191.26
batch1-0031,total,29.67,29.67,False,False,29.67
batch1-0295,total,43.96,43.52,True,True,43.96
