file_name,field,doc_value,cond_value,is_defect,injected,amount
batch1-0494,invoice_date,02/23/2021,01/24/2021,True,True,232.95
batch1-0489,invoice_date,06/11/2020,07/02/2020,False,False,153.92
batch1-0499,invoice_date,02/07/2020,01/08/2020,True,True,498.21
batch1-0497,invoice_date,07/25/2017,06/25/2017,True,True,677.47
batch1-0081,invoice_date,09/07/2014,09/28/2014,False,False,1.71
batch1-0105,invoice_date,10/03/2011,09/03/2011,True,True,70577.35
batch1-0019,invoice_date,01/11/2015,02/01/2015,False,False,188.11
batch1-0108,invoice_date,04/22/2013,05/13/2013,False,False,360.58
batch1-0087,invoice_date,12/19/2019,11/19/2019,True,True,6.58
batch1-0151,invoice_date,04/28/2017,03/29/2017,True,True,3838.87
batch1-0187,invoice_date,05/13/2012,04/13/2012,True,True,5283.18
batch1-0039,invoice_date,06/08/2011,05/09/2011,True,True,3004.96
batch1-0490,invoice_date,08/16/2014,07/17/2014,True,True,689.19
batch1-0196,invoice_date,01/27/2021,02/17/2021,False,False,172.22
batch1-0132,invoice_date,05/15/2020,06/05/2020,False,False,714.95
batch1-0210,invoice_date,11/15/2015,10/16/2015,True,True,386.6
batch1-0020,invoice_date,02/18/2014,03/11/2014,False,False,327.08
batch1-0276,invoice_date,05/14/2019,04/14/2019,True,True,89.06
batch1-0300,invoice_date,11/16/2011,10/17/2011,True,True,343.87
batch1-0158,invoice_date,10/28/2019,11/18/2019,False,False,96.73
batch1-0136,invoice_date,08/23/2020,07/24/2020,True,True,5605.15
batch1-0274,invoice_date,11/20/2012,10/21/2012,True,True,913.65
batch1-0435,invoice_date,08/28/2019,07/29/2019,True,True,312.04
batch1-0384,invoice_date,11/20/2011,12/11/2011,False,False,7237.02
batch1-0401,invoice_date,06/21/2015,07/12/2015,False,False,740.69
batch1-0035,invoice_date,08/07/2017,07/08/2017,True,True,722.11
batch1-0023,invoice_date,09/18/2018,08/19/2018,True,True,18281.24
batch1-0093,invoice_date,10/03/2017,09/03/2017,True,True,2235.2
batch1-0080,invoice_date,07/30/2016,06/30/2016,True,True,291.92
batch1-0059,invoice_date,05/16/2019,04/16/2019,True,True,1255.0
batch1-0056,invoice_date,02/21/2012,03/13/2012,False,False,494.89
batch1-0170,invoice_date,01/12/2019,12/13/2018,True,True,771.01
batch1-0123,invoice_date,09/03/2012,08/04/2012,True,True,8621.78
batch1-0137,invoice_date,05/13/2018,04/13/2018,True,True,44.0
batch1-0320,invoice_date,08/08/2019,07/09/2019,True,True,186.96
batch1-0167,invoice_date,03/09/2020,02/08/2020,True,True,86.56
batch1-0376,invoice_date,08/30/2016,07/31/2016,True,True,2568.45
batch1-0361,invoice_date,11/24/2014,10/25/2014,True,True,997.37
batch1-0439,invoice_date,03/21/2017,02/19/2017,True,True,141.87
batch1-0391,invoice_date,10/11/2019,11/01/2019,False,False,1026.71
batch1-0362,invoice_date,05/05/2019,04/05/2019,True,True,3393.4
batch1-0098,invoice_date,10/03/2011,09/03/2011,True,True,1.99
batch1-0095,invoice_date,07/02/2018,06/02/2018,True,True,32.95
batch1-0026,invoice_date,01/05/2017,01/26/2017,False,False,9256.59
batch1-0082,invoice_date,12/15/2020,11/15/2020,True,True,371.51
