file_name,field,doc_value,cond_value,is_defect,injected,tier,amount
batch1-0494,seller_name,Nguyen-Roach,NguyeB-Roach,True,True,mid,232.95
batch1-0489,seller_name,Scott-Howard,Scott-Howard,False,False,,153.92
batch1-0499,seller_name,"Bailey, Murray and Lewis","Bailey, Murray and Lewis Ltd.",True,True,weak,498.21
batch1-0497,seller_name,"Merritt, Williams and Young","Merritt, Williams and Young Ltd.",True,True,weak,677.47
batch1-0081,seller_name,Fernandez Ltd,Fernandez Ltd,False,False,,1.71
batch1-0105,seller_name,Adams PLC,Meridian Supplies Inc.,True,True,strong,70577.35
batch1-0019,seller_name,"Lozano, Wang and Smith","Lozano, Wang and Smith",False,False,,188.11
batch1-0108,seller_name,Jackson Ltd,Jackson Ltd,False,False,,360.58
batch1-0087,seller_name,"Chase, Green and Bailey",Meridian Supplies Inc.,True,True,strong,6.58
batch1-0151,seller_name,"Archer, Davis and Hudson",Zenith Global Corp,True,True,strong,3838.87
batch1-0187,seller_name,"Bishop, Kelley and Wright",Pinnacle Trading Ltd.,True,True,strong,5283.18
batch1-0039,seller_name,Cruz-Carter,Cruz-CBrter,True,True,mid,3004.96
batch1-0490,seller_name,Reed and Sons,Reed and Sons Ltd.,True,True,weak,689.19
batch1-0196,seller_name,"Gilmore, Brady and Carter","Gilmore, Brady and Carter",False,False,,172.22
batch1-0132,seller_name,"Peterson, Hester and Mckee","Peterson, Hester and Mckee",False,False,,714.95
batch1-0210,seller_name,Powell Ltd,Powell Limited,True,True,weak,386.6
batch1-0020,seller_name,"Kerr, Ryan and Gomez","Kerr, Ryan and Gomez",False,False,,327.08
batch1-0276,seller_name,Lyons Inc,Lyons Incorporated,True,True,weak,89.06
batch1-0300,seller_name,"Bailey, Adams and Pacheco",Meridian Supplies Inc.,True,True,strong,343.87
batch1-0158,seller_name,Kane-Morgan,Kane-Morgan,False,False,,96.73
batch1-0136,seller_name,Faulkner Group,Zenith Global Corp,True,True,strong,5605.15
batch1-0274,seller_name,"Potts, Pittman and Beck","Potts, PittBan and Beck",True,True,mid,913.65
batch1-0435,seller_name,Mason-Beltran,Pinnacle Trading Ltd.,True,True,strong,312.04
batch1-0384,seller_name,Williams-Morris,Williams-Morris,False,False,,7237.02
batch1-0401,seller_name,White PLC,White PLC,False,False,,740.69
batch1-0035,seller_name,Campos LLC,CampBs LLC,True,True,mid,722.11
batch1-0023,seller_name,Harris LLC,Pinnacle Trading Ltd.,True,True,strong,18281.24
batch1-0093,seller_name,Lopez-Smith,Lopez-Bmith,True,True,mid,2235.2
batch1-0080,seller_name,Mercer-Donovan,Mercer-Bonovan,True,True,mid,291.92
batch1-0059,seller_name,James PLC,Pinnacle Trading Ltd.,True,True,strong,1255.0
batch1-0056,seller_name,"Terry, Crawford and Vega","Terry, Crawford and Vega",False,False,,494.89
batch1-0170,seller_name,"Schneider, Aguirre and Dennis",Pinnacle Trading Ltd.,True,True,strong,771.01
batch1-0123,seller_name,Fernandez-Evans,Zenith Global Corp,True,True,strong,8621.78
batch1-0137,seller_name,"Flores, David and Fleming","Flores, David and Fleming Ltd.",True,True,weak,44.0
batch1-0320,seller_name,Gonzales-Hart,Gonzales-Hart Ltd.,True,True,weak,186.96
batch1-0167,seller_name,Alexander-Valenzuela,Alexander-Balenzuela,True,True,mid,86.56
batch1-0376,seller_name,Ross Group,Ross Group Ltd.,True,True,weak,2568.45
batch1-0361,seller_name,Johnson-Young,JohnsoB-Young,True,True,mid,997.37
batch1-0439,seller_name,Hall LLC,Zenith Global Corp,True,True,strong,141.87
batch1-0391,seller_name,"Reyes, Fox and Martinez","Reyes, Fox and Martinez",False,False,,1026.71
